33,beta,100.0,15.0,25.0,128.28794085583456,2.045690034444629,23.07809798910875
33,gamma,200.0,16.0,22.0,212.2941108606174,0.7535914381321227,21.269076936317912
34,alfa,100.0,25.0,18.0,115.77654005348185,-0.9129404679049529,18.882818238727186
34,beta,100.0,15.0,25.0,128.57622615746826,1.9219020108912517,23.188404148710767
34,gamma,200.0,16.0,22.0,212.4037493201697,0.7309230636820878,21.289276477907052
35,alfa,100.0,25.0,18.0,115.90896278929092,-0.8828182387271859,18.85597664837076
35,beta,100.0,15.0,25.0,128.84796553516165,1.8115958512892334,23.28669676617791
35,gamma,200.0,16.0,22.0,212.51035784848366,0.7107235220929482,21.307276069422127
36,alfa,100.0,25.0,18.0,116.03735928654653,-0.8559766483707598,18.832058399538298
36,beta,100.0,15.0,25.0,129.10496102023495,1.7133032338220886,23.37428424708923
36,gamma,200.0,16.0,22.0,212.61426643807036,0.6927239305778734,21.323315309386054
37,alfa,100.0,25.0,18.0,116.16216804647728,-0.8320583995382975,18.81074510849947
37,beta,100.0,15.0,25.0,129.34881838317156,1.6257157529107715,23.452332497406243
37,gamma,200.0,16.0,22.0,212.71576914166246,0.6766846906139463,21.337607701433118
38,alfa,100.0,25.0,18.0,116.2837798127522,-0.8107451084994715,18.791753066979727
38,beta,100.0,15.0,25.0,129.58096850856063,1.5476675025937574,23.521880443233286
38,gamma,200.0,16.0,22.0,212.8151279864475,0.662392298566882,21.35034349632654
39,alfa,100.0,25.0,18.0,116.40254277279917,-0.7917530669797266,18.774829465625498
39,gamma,200.0,16.0,22.0,212.9125764619985,0.6496565036734587,21.361692224449392
39,beta,100.0,15.0,25.0,129.80268644207564,1.478119556766714,23.58385386030689
40,alfa,100.0,25.0,18.0,116.518767192643,-0.7748294656254977,18.759749028775193
40,beta,100.0,15.0,25.0,130.0151083630296,1.4161461396931116,23.63907769730317
40,gamma,200.0,16.0,22.0,213.0083226283311,0.6383077755506079,21.371804952479657
41,alfa,100.0,25.0,18.0,116.63272954695928,-0.7597490287751931,18.74631101574027
41,gamma,200.0,16.0,22.0,213.10255188545915,0.628195047520343,21.380816294288802
41,beta,100.0,15.0,25.0,130.21924670843413,1.3609223026968316,23.688287057002825
42,alfa,100.0,25.0,18.0,116.74467619932032,-0.7463110157402717,18.73433654867945
42,gamma,200.0,16.0,22.0,213.19542944131584,0.6191837057111975,21.38884620283161
42,beta,100.0,15.0,25.0,130.4160036498837,1.3117129429971754,23.732136981487667
43,beta,100.0,15.0,25.0,130.60618310266054,1.2678630185123332,23.771211171622674
43,gamma,200.0,16.0,22.0,213.2871025108911,0.6111537971683916,21.39600156687965
43,alfa,100.0,25.0,18.0,116.85482668162224,-0.7343365486794511,18.72366623149654
44,alfa,100.0,25.0,18.0,116.96337661634672,-0.7236662314965407,18.714158028066223
44,beta,100.0,15.0,25.0,130.79050142691713,1.2287888283773256,23.806029756891494
44,gamma,200.0,16.0,22.0,213.37770227585915,0.6039984331203492,21.402377633853153
45,alfa,100.0,25.0,18.0,117.07050032055666,-0.7141580280662225,18.705685371544156
45,beta,100.0,15.0,25.0,130.9695969633834,1.193970243108506,23.837056219012222
45,gamma,200.0,16.0,22.0,213.46734563078118,0.5976223661468474,21.408059277690928
46,alfa,100.0,25.0,18.0,117.17635312628829,-0.7056853715441562,18.6981354795938
